epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,335.66,1.00297,9.61217,0.69161,0.84285,1.36539,0.94185,0.94262,0.97795,0.78016,0.2549,0.14242,0.06314,0.00762,0.87861,7.33892,0.54722,0.49708,1.26713,0.00333042,0.00333042,0.00333042
2,658.483,0.88301,7.17181,0.64314,0.62738,1.24847,0.93936,0.89676,0.96282,0.77324,0.77111,0.46132,0.45616,0.18546,0.86331,5.31956,0.43491,0.54582,1.23979,0.00659778,0.00659778,0.00659778
3,977.311,0.94359,6.48649,0.59503,0.69346,1.29006,0.90886,0.82608,0.9194,0.6845,0.37367,0.24757,0.10908,0.03822,1.08115,6.47568,0.32085,0.76324,1.4388,0.00979914,0.00979914,0.00979914
4,1292.68,0.97602,6.15409,0.53007,0.71781,1.30521,0.91631,0.86661,0.93011,0.72596,0.57556,0.4038,0.28396,0.13413,0.97539,5.22394,0.27029,0.65451,1.32981,0.009703,0.009703,0.009703
5,1608.41,0.92482,5.59127,0.47175,0.66092,1.26115,0.91922,0.93127,0.9696,0.79391,0.77953,0.60105,0.57947,0.35895,0.80626,3.92691,0.1982,0.50475,1.19123,0.009604,0.009604,0.009604
6,1924.47,0.88046,5.23341,0.43487,0.61994,1.23368,0.95523,0.94812,0.98229,0.81097,0.80931,0.66696,0.68401,0.44398,0.77918,3.36543,0.14343,0.44004,1.15278,0.009505,0.009505,0.009505
7,2241.83,0.8689,5.0498,0.41129,0.60426,1.2231,0.95384,0.95607,0.98264,0.80778,0.77569,0.63645,0.60577,0.38239,0.78241,3.46348,0.10952,0.44008,1.13946,0.009406,0.009406,0.009406
8,2558.77,0.84515,4.86309,0.3916,0.57811,1.20431,0.95131,0.95581,0.98477,0.82355,0.78665,0.67021,0.65926,0.43781,0.7517,3.22773,0.11675,0.42126,1.13007,0.009307,0.009307,0.009307
9,2875.6,0.82717,4.65077,0.3797,0.56446,1.19349,0.95565,0.9548,0.98472,0.83233,0.79637,0.67546,0.66757,0.45124,0.73602,3.21707,0.10145,0.40624,1.11115,0.009208,0.009208,0.009208
10,3191.64,0.81387,4.54946,0.37141,0.54942,1.18797,0.9587,0.95978,0.98734,0.83633,0.80813,0.71606,0.71619,0.49017,0.70075,2.97197,0.09869,0.39486,1.08562,0.009109,0.009109,0.009109
11,3506.83,0.80625,4.46772,0.36407,0.5407,1.18417,0.95687,0.96321,0.98582,0.84389,0.83279,0.69685,0.73898,0.52026,0.70137,2.89071,0.09236,0.38503,1.09575,0.00901,0.00901,0.00901
12,3824.55,0.78487,4.34315,0.35718,0.52538,1.16808,0.96481,0.96211,0.98593,0.84785,0.82131,0.73002,0.74719,0.53169,0.68317,2.7953,0.09422,0.36864,1.08541,0.008911,0.008911,0.008911
13,4143.35,0.78816,4.27747,0.35148,0.52509,1.16888,0.95959,0.96043,0.98709,0.8479,0.82816,0.72951,0.74263,0.52011,0.68494,2.76122,0.08536,0.37623,1.07931,0.008812,0.008812,0.008812
